	"State"	"S/B"	"Name"	2183991
310	"RA"	"B"	1	0.00005%
311	"RE"	"B"	1	0.00005%
312	"RE"	"S"	2	0.00009%
313	"RH"	"B"	3	0.00014%
314	"RI"	"B"	5596	0.25623%
315	"RI"	"C"	351	0.01607%
316	"RI"	"S"	4070	0.18636%
317	"RO"	"S"	1	0.00005%
318	"RU"	"B"	3	0.00014%
319	"RU"	"S"	3	0.00014%
320	"SA"	"B"	14	0.00064%
321	"SA"	"C"	1	0.00005%
322	"SA"	"S"	26	0.00119%
323	"SC"	"B"	1059	0.04849%
324	"SC"	"C"	183	0.00838%
325	"SC"	"S"	2289	0.10481%
326	"SD"	"B"	41	0.00188%
327	"SD"	"C"	4	0.00018%
328	"SD"	"S"	84	0.00385%
329	"SK"	"S"	1	0.00005%
330	"SM"	"B"	1	0.00005%
331	"SN"	"B"	2	0.00009%
332	"SN"	"S"	4	0.00018%
333	"SP"	"B"	2	0.00009%
334	"SP"	"S"	5	0.00023%
335	"SS"	"S"	1	0.00005%
336	"ST"	"B"	18	0.00082%
337	"ST"	"S"	15	0.00069%
338	"SW"	"B"	13	0.00060%
339	"SW"	"C"	2	0.00009%
340	"SW"	"S"	8	0.00037%
341	"TA"	"B"	1	0.00005%
342	"TE"	"C"	1	0.00005%
343	"TE"	"S"	4	0.00018%
344	"TH"	"S"	1	0.00005%
345	"TI"	"B"	3	0.00014%
346	"TN"	"B"	755	0.03457%
347	"TN"	"C"	97	0.00444%
348	"TN"	"S"	1327	0.06076%
349	"TO"	"B"	3	0.00014%
350	"TR"	"S"	1	0.00005%
351	"TU"	"S"	2	0.00009%
352	"TW"	"S"	2	0.00009%
353	"TX"	"B"	3180	0.14560%
354	"TX"	"C"	601	0.02752%
355	"TX"	"S"	4668	0.21374%
356	"U"	"S"	1	0.00005%
357	"UK"	"B"	162	0.00742%
358	"UK"	"C"	6	0.00027%
359	"UK"	"S"	111	0.00508%
360	"UL"	"B"	2	0.00009%
361	"UN"	"S"	2	0.00009%
362	"US"	"B"	2	0.00009%
363	"US"	"C"	1	0.00005%
364	"US"	"S"	9	0.00041%
365	"UT"	"B"	388	0.01777%
366	"UT"	"C"	110	0.00504%
367	"UT"	"S"	643	0.02944%
368	"VA"	"B"	4645	0.21268%
369	"VA"	"C"	541	0.02477%
370	"VA"	"S"	5464	0.25018%
371	"VE"	"B"	17	0.00078%
372	"VE"	"C"	3	0.00014%
373	"VE"	"S"	8	0.00037%
374	"VI"	"B"	84	0.00385%
375	"VI"	"C"	11	0.00050%
376	"VI"	"S"	109	0.00499%
377	"VK"	"B"	1	0.00005%
378	"VT"	"B"	806392	36.92286%
379	"VT"	"C"	59753	2.73595%
380	"VT"	"S"	705445	32.30073%
381	"VZ"	"B"	1	0.00005%
382	"VZ"	"S"	3	0.00014%
383	"W"	"B"	1	0.00005%
384	"WA"	"B"	1125	0.05151%
385	"WA"	"C"	108	0.00495%
386	"WA"	"S"	1487	0.06809%
387	"WC"	"B"	1	0.00005%
388	"WC"	"S"	1	0.00005%
389	"WH"	"S"	2	0.00009%
390	"WI"	"B"	660	0.03022%
391	"WI"	"C"	133	0.00609%
392	"WI"	"S"	822	0.03764%
393	"WO"	"S"	2	0.00009%
394	"WV"	"B"	240	0.01099%
395	"WV"	"C"	21	0.00096%
396	"WV"	"S"	264	0.01209%
397	"WY"	"B"	168	0.00769%
398	"WY"	"C"	33	0.00151%
399	"WY"	"S"	286	0.01310%
400	"X"	"B"	15	0.00069%
401	"X"	"C"	1	0.00005%
402	"X"	"S"	27	0.00124%
403	"XX"	"C"	1	0.00005%
404	"XX"	"S"	5	0.00023%
405	"YT"	"B"	1	0.00005%
